,0,events
238,4,"

Sanctions (trigger1) and War crimes (trigger2)
Sanctions (trigger1) and Human rights abuses (trigger2)
Measures (trigger1) and Terrorism (trigger2)
Sanctions (trigger1) and Weapons of mass destruction (trigger2)
Sanctions (trigger1) and Nuclear weapons (trigger2)
Arms embargo (trigger1) and Destabilizing (trigger2)
Measures (trigger1) and Hate speech (trigger2)
Measures (trigger1) and Exploitation (trigger2)
Measures (trigger1) and Abuse of power (trigger2)
Measures (trigger1) and Misuse of funds (trigger2)
Measures (trigger1) and Human rights violation (trigger2)
Measures (trigger1) and Fake news (trigger2)
Measures (trigger1) and Cybercrime (trigger2)
Measures (trigger1) and Exploitation of resources (trigger2)
Measures (trigger1) and Child exploitation (trigger2)
Measures (trigger1) and Weapons of mass destruction (trigger2)
Measures (trigger1) and Organized crime (trigger2)"
239,5,"

(Vaccinations, Spread)
(Security, Trafficking)"
240,6,"

(sanctions, interfering)
(embargo, developing)
(sanctions, destabilizing)"
241,7,"

Arms embargo (trigger1) and terrorists (trigger2)
Arms embargo (trigger1) and civil war (trigger2)
Arms embargo (trigger1) and terrorists (trigger2)
Arms embargo (trigger1) and civil war (trigger2)
Arms embargo (trigger1) and civil war (trigger2)
Arms embargo (trigger1) and human rights abuses (trigger2)
Arms embargo (trigger1) and nuclear weapons (trigger2)
Economic sanctions (trigger1) and nuclear weapons (trigger2)
Travel ban (trigger1) and human rights abuses (trigger2)
No-fly zone (trigger1) and human rights abuses (trigger2)
Economic sanctions (trigger1) and human rights abuses (trigger2)"
242,8,"

(sanctions, acquiring)
(military, invading)
(arms, acquiring)
(no-fly, using)
(sanctions, acquiring)
(naval, importing)
(trade, acquiring)
(travel, acquiring)"
243,9,"

(Sanctions, Interfering)
(Sanctions, Cracking)
(Embargo, Violence)
(Sanctions, Developing)"
244,10,"

Trigger1: Steps (Trigger2: Devaluation)"
245,11,"

(measures, trafficking)
(measures, exploitation)
(measures, dumping)"
246,12,"

(Embargo, WMD)"
247,13,"

(Arms embargo, Prevent)
(Travel ban, Prevent)
(Economic sanctions, Prevent)
(Economic sanctions, Prevent)"
248,14,"

(Arms embargo, Aggression)
(Arms embargo, Terrorism)
(Arms embargo, Violence)"
249,15,"

(measures, trafficking)
(measures, hate)
(measures, misinformation)
(legislation, exploitation)
(embargo, weapons)
(laws, discrimination)
(sanctions, terrorism)"
250,16,"

(Discrimination,Prevent)
(Hate,Prevent)
(Trafficking,Prevent)
(Exploitation,Prevent)
(Infectious,Prevent)
(Illegal,Prevent)
(Weapons,Prevent)
(Child,Prevent)
(Abuse,Prevent)
(Exploitation,Prevent)
(Destruction,Prevent)
(Extremist,Prevent)
(Financing,Prevent)
(Proliferation,Prevent)
(Illegal,Prevent)
(Endangered,Prevent)
(Hazardous,Prevent)
(Illegal,Prevent)"
251,17,"

Trigger1: embargo (Trigger2: abuses)"
252,18,"

(Surveillance, Terrorism)
(Transparency, Corruption)"
253,19,"

(sanctions,nuclear)
(embargo,destabilizing)
(sanctions,violating)"
254,20,"

Trigger1: embargo (Trigger2: missiles)"
255,21,"

(Embargo, Civil War)
(Embargo, Terrorists)"
256,22,"

(Embargo, Conflict)
(Sanctions, Nuclear)"
257,23,"

(Monitoring, Exploitation)
(Surveillance, Terrorism)"
258,24,"

(Laws)(Enforcement)"
259,25,"

(Regulations, Unethical)
(Regulations, Polluting)
(Regulations, Exploiting)
(Regulations, Price Gouging)
(Regulations, Deceptive)
(Regulations, Insider Trading)"
260,26,"

(Arms embargo, Destabilizing)
(Sanctions, Human rights abuses)
(Travel ban, Nuclear weapons)
(Sanctions, Nuclear weapons)
(Arms embargo, Destabilizing)
(Sanctions, Human rights abuses)
(Travel ban, Destabilizing)
(Sanctions, Destabilizing)"
261,27,"

Trigger1: Measures (Trigger2: Spread)"
262,28,"

Arms embargo (trigger1) and proliferation (trigger2)
Regulations (trigger1) and spread (trigger2)
Protocols (trigger1) and use (trigger2)
Laws (trigger1) and financing (trigger2)
Resolutions (trigger1) and force (trigger2)
Laws (trigger1) and proliferation (trigger2)
Protocols (trigger1) and use (trigger2)
Laws (trigger1) and trafficking (trigger2)
Protocols (trigger1) and use (trigger2)"
263,29,"

(Embargo,Abuses)
(Sanctions,Nuclear)
(No-fly,Violence)"
264,30,"

(Surveillance, Terrorism)
(Laws, Corruption)
(Monitoring, Exploitation)"
265,31,"

(Regulations, Protect)"
266,32,"

(Sanctions, War crimes)
(Sanctions, Human rights abuses)"
267,33,"

(Arms embargo, Spread of extremism)
(Arms embargo, Development of nuclear weapons)
(Arms embargo, Spread of terrorism)"
268,34,"

Trigger1: War's (Trigger2: Initiative)"
269,35,"

(Arms embargo, Nuclear weapons)
(Arms embargo, Human rights abuses)"
270,36,"

(sanctions,occupation)
(embargo,weapons)
(air campaign,occupation)
(invasion,withdraw)
(no-fly zone,attack)
(blockade,import)"
271,37,"

(Security, Penalties)
(Inspections, Penalties)"
272,38,"

(Minimum wage, Exploitation)
(Natural resources, Exploitation)
(Vulnerable populations, Exploitation)
(Deceptive marketing, Exploitation)
(Children, Exploitation)"
273,39,"

(Arms embargo, Developing nuclear weapons)
(Arms embargo, Developing nuclear weapons)
(Arms embargo, Using weapons)
(Arms embargo, Using weapons)
(Arms embargo, Using weapons)"
274,40,"

(Travel ban, Destabilizing)
(Arms embargo, Destabilizing)
(Economic sanctions, Nuclear weapons)
(Travel ban, Destabilizing)
(Economic sanctions, Destabilizing)"
275,41,"

Trigger1: embargo (Trigger2: violence)"
276,42,"

Trigger1: Surveillance (Trigger2: Terrorism)"
277,43,"

(measures, exploitation)
(measures, trafficking)
(measures, smuggling)"
278,44,"

(measures, proliferation)
(measures, sale)
(measures, sale)
(measures, exploitation)
(measures, destruction)"
279,45,"

(Sanctions, Destabilizing)
(Embargo, Violence)"
280,46,"

(Monitoring,Hate)
(Regulation,Exploitation)
(Transparency,Corruption)"
281,47,"

(Embargo, Nuclear)"
282,48,"

(Monitoring,Extremism)
(Transparency,Corruption)
(Surveillance,Terrorism)"
283,49,"

(Tariffs, Protect)
(No-fly, Attack)
(Sanctions, Interfere)
(Arms, Chemical)
(Arms, Weapons)
(Sanctions, Violate)
(Arms, Weapons)
(Arms, Weapons)"
284,50,"

(sanctions, nuclear)
(embargo, weapons)
(sanctions, destabilizing)"
285,51,"

Exploitation (trigger1) - Prevention (trigger2)
Sale (trigger1) - Illegal (trigger2)
Trafficking (trigger1) - Human (trigger2)
Terrorism (trigger1) - Spread (trigger2)
Proliferation (trigger1) - Weapons (trigger2)
Child (trigger1) - Soldiers (trigger2)
Destruction (trigger1) - Environment (trigger2)
Infectious (trigger1) - Diseases (trigger2)
Exploitation (trigger1) - Natural (trigger2)"
286,52,"

Arms embargo (trigger1) and genocide (trigger2)
Arms embargo (trigger1) and terrorism (trigger2)
Arms embargo (trigger1) and nuclear weapons (trigger2)
Economic sanctions (trigger1) and interfering (trigger2)
Economic sanctions (trigger1) and nuclear weapons (trigger2)
Arms embargo (trigger1) and chemical weapons (trigger2)
Economic sanctions (trigger1) and human rights (trigger2)"
287,53,"

(Arms embargo, Chemical weapons)
(Economic sanctions, Nuclear weapons)
(Measures, Disease)
(Measures, Misinformation)"
288,54,"

(sanctions, aggression)
(embargo, nuclear)
(sanctions, nuclear)
(no-fly, violence)"
289,55,"

Trigger1 (Arms embargo) Trigger2 (Nuclear weapons)"
290,56,"

Trigger1: Settlemet (trigger1)
Trigger2: Exodus (trigger2)"
291,57,"

Trigger1: Tariffs (Trigger1)
Trigger2: Competition (Trigger2)"
292,58,"

(sanctions, destabilizing)
(embargo, destabilizing)
(sanctions, nuclear)
(ban, destabilizing)"
293,59,"

(Sanctions,Abuses)
(Sanctions,Interfering)
(Sanctions,Nuclear)
(Sanctions,Abuses)"
294,60,"

Sanctions (trigger1) and Interfering (trigger2)
Measures (trigger1) and Disinformation (trigger2)
Sanctions (trigger1) and Weapons (trigger2)
Sanctions (trigger1) and Destabilizing (trigger2)
Arms (trigger1) and Destabilizing (trigger2)
Measures (trigger1) and Hate (trigger2)
Measures (trigger1) and Exploitation (trigger2)
Measures (trigger1) and Abuse (trigger2)
Measures (trigger1) and Misuse (trigger2)
Measures (trigger1) and Violation (trigger2)
Measures (trigger1) and Fake (trigger2)
Measures (trigger1) and Cybercrime (trigger2)
Measures (trigger1) and Exploitation (trigger2)
Measures (trigger1) and Children (trigger2)
Measures (trigger1) and Weapons (trigger2)
Measures (trigger1) and Organized (trigger2)"
295,61,"

(Travel ban, Weapons of mass destruction)
(Arms embargo, Destabilizing)
(Arms embargo, Destabilizing)
(Arms embargo, Destabilizing)"
296,62,"

(Embargo, Weapons)"
297,63,"

(Measures, Corruption)
(Measures, Poverty)
(Measures, Disease)
(Measures, Violence)
(Measures, Discrimination)"
298,64,"

Trigger1: Sanctions (Trigger1)
Trigger2: War crimes (Trigger2)"
299,65,"

(Sanctions, Nuclear)"
300,66,"

(Legislation, Polluting)"
301,67,"

Trigger1: Sanctions (Trigger1)
Trigger2: Nuclear (Trigger2)"
302,68,"

(Surveillance, Terrorism)
(Penalties, Terrorism)"
303,69,"

Trigger1: embargo (Trigger2: actions)"
304,70,"

(Monitoring, Exploitation)
(Monitoring, Resources)"
305,71,"

(Arms embargo, Haven)
(Economic sanctions, Nuclear weapons)
(Arms embargo, Haven)
(Economic sanctions, Interfering)"
306,72,"

(measures, cyber-attacks)
(measures, data breaches)"
307,73,"

(Laws, Environment)
(Laws, Rights)"
308,74,"

(Sanctions,Abuses)
(Sanctions,Interfering)
(Sanctions,Abuses)"
309,75,"

(Arms embargo, Nuclear weapons)
(Arms embargo, Violence)"
310,76,"

(Sanctions,Genocide)
(Sanctions,Human Rights)
(Sanctions,War Crimes)
(Sanctions,Terrorism)
(Sanctions,Human Rights)"
311,77,"

Trigger1: Monitoring (Trigger2: Exploitation)"
312,78,"

(sanctions, interfering)
(embargo, developing)
(embargo, developing)
(embargo, destabilizing)"
313,79,"

(Sanctions,Nuclear)
(Embargo,Violence)
(Sanctions,Nuclear)
(Embargo,Violence)"
314,80,"

Trigger1: Measures (Trigger2: Spread)"
315,81,"

(Surveillance, Extremism)
(Fact-checking, Misinformation)
(Security, Cybercrime)"
316,82,"

(sanctions, nuclear)
(blockade, weapons)
(no-fly, attack)
(sanctions, nuclear)"
317,83,"

Trigger1: Sanctions (Trigger1)
Trigger2: Abuses (Trigger2)"
318,84,"

(Laws, Exploitation)
(Laws, Trafficking)
(Laws, Exploitation)
(Laws, Dumping)"
319,85,"

(Arms embargo, Destabilizing)
(Economic sanctions, Nuclear weapons)
(Trade embargo, Supporting terrorism)"
320,86,"

Trigger1: Sanctions (Trigger1)
Trigger2: Violation (Trigger2)"
321,87,"

(Regulations, Risky)"
322,88,"

Trigger1: embargo (Trigger2: weapons)"
323,89,"

(Monitoring,Hate Speech)
(Transparency,Corruption)
(Monitoring,Exploitation)"
324,90,"

(Arms embargo, Violence)
(Economic sanctions, Oppressing)"
325,91,"

(Surveillance,Organized crime)
(Intelligence,Terrorism)
(Awareness,Human trafficking)
(Security,Cybercrime)"
326,92,"

(Arms embargo, Prevent)
(Economic sanctions, Prevent)
(Arms embargo, Prevent)"
327,93,"

(Sanctions, Nuclear)"
328,94,"

(measures, drugs)
(measures, weapons)"
329,95,"

(Embargo,Abuses)
(Sanctions,Nuclear)"
330,96,"

(Sanctions, Nuclear Weapons), (Sanctions, Nuclear Weapons), (Sanctions, Human Rights), (Sanctions, Human Rights)"
331,97,"

(Embargo, Destabilizing)
(No-fly, Violence)
(Arms, Destabilizing)"
332,98,"

(sanctions, terrorist)
(embargo, abuses)
(embargo, terrorism)
(embargo, military)
(sanctions, destabilize)
(embargo, weapons)"
333,99,"

(Arms embargo, Violence)
(Arms embargo, Violence)
(Sanctions, Nuclear weapons)"
334,100,"

(Regulations, Exploitation)
(Laws, Exploitation)
(Laws, Vulnerable)
(Laws, Children)
(Laws, Animals)"
335,101,"

Trigger1: embargo (Trigger2: destabilizing)"
336,102,"

(Measures, Spread)"
337,103,"

(Exploitation, Prevention)
(Indigenous, Exploitation)
(Natural, Exploitation)
(Children, Exploitation)
(Women, Exploitation)
(Minorities, Exploitation)
(Refugees, Exploitation)"
338,104,"

(Measures, Trafficking)
(Measures, People)
(Measures, Species)"
339,105,"

(Laws, Abuse)"
340,106,"

(Arms embargo, Destabilizing)
(Arms embargo, Destabilizing)
(Arms embargo, Destabilizing)
(Arms embargo, Destabilizing)"
341,107,"

Trigger1: Monitoring (Trigger2: Cybercrime)"
342,108,"

(Sanctions, Aggression)
(Embargo, Proliferation)
(Sanctions, Weapons)"
343,109,"

(measures, exploitation)
(measures, vulnerable)
(measures, diseases)
(measures, terrorism)
(measures, child)
(measures, forced)
(measures, trafficking)
(measures, money)
(measures, bribery)
(measures, cybercrime)
(measures, tax)"
344,110,"

Trigger1: Measures (Trigger2: Trafficking)"
345,111,"

(Arms embargo, Nuclear weapons)
(Economic sanctions, Nuclear weapons)
(Sanctions, Terrorist activities)
(Arms embargo, Human rights abuses)
(Arms embargo, Human rights abuses)
(Sanctions, Nuclear weapons)
(Arms embargo, Human rights abuses)
(Sanctions, Terrorist activities)
(Arms embargo, Human rights abuses)"
346,112,"

Trigger1 (sanctions) Trigger2 (nuclear)
Trigger1 (embargo) Trigger2 (destabilizing)"
347,113,"

Trigger1: laws (Trigger2: seizure)"
348,114,"

(sanctions, nuclear)
(embargo, terrorist)
(sanctions, nuclear)
(embargo, terrorist)
(sanctions, interfering)"
349,115,"

(Sanctions, Democracy)
(Arms embargo, Violence)
(Sanctions, Oppression)
(Arms embargo, Violence)"
350,116,"

(Program, Unemployment)"
351,117,"

Trigger1 (Arms embargo) Trigger2 (Destabilizing)
Trigger1 (Economic sanctions) Trigger2 (Violating)"
352,118,"

(Laws, Corruption)
(Laws, Terrorism)
(Laws, Hate)
(Laws, Drugs)
(Laws, Crime)
(Laws, Cybercrime)"
353,119,"

Trigger1: Sanctions (Trigger1)
Trigger2: Weapons (Trigger2)"
354,120,"

(sanctions,violating)
(embargo,committing)"
355,121,"

(Steps, Advantage)"
356,122,"

(Laws, Weapons)
(Laws, Drugs)
(Laws, Alcohol)
(Laws, Tobacco)
(Laws, Firearms)"
357,123,"

(Embargo, WMDs)"
358,124,"

Trigger1: Measures (Trigger2: Trafficking)"
359,125,"

Trigger1 (Travel ban) Trigger2 (Nuclear weapons)
Trigger1 (Economic sanctions) Trigger2 (Human rights abuses)"
360,126,"

Trigger1: Sanctions (Trigger1)
Trigger2: Destabilizing (Trigger2)"
361,127,"

(Arms embargo, Violence)
(Arms embargo, Nuclear weapons)
(Arms embargo, Destabilizing)
(Arms embargo, Destabilizing)
(Arms embargo, Destabilizing)"
362,128,"

(Prevent, Hate Speech)
(Prevent, Misinformation)
(Prevent, Cybercrime)"
363,129,"

(Ceasefire, Loss)"
364,130,"

(Arms embargo, Acquiring)
(Economic sanctions, Violating)
(Arms embargo, Acquiring)
(Arms embargo, Acquiring)
(Arms embargo, Acquiring)
(Arms embargo, Acquiring)
(Arms embargo, Acquiring)
(Arms embargo, Acquiring)"
365,131,"

(Measures, Corruption)
(Measures, Terrorism)
(Measures, Cybercrime)
(Measures, Degradation)"
366,132,"

(Sanctions, Nuclear Weapons)
(Arms Embargo, Destabilizing)
(Travel Ban, Destabilizing)
(Arms Embargo, Destabilizing)
(Sanctions, Interfering)
(Sanctions, Destabilizing)
(Arms Embargo, Destabilizing)
(Sanctions, Nuclear Weapons)
(Sanctions, Nuclear Weapons)
(Arms Embargo, Destabilizing)
(Travel Ban, Destabilizing)
(Sanctions, Destabilizing)"
367,133,"

Trigger1: Risk (Trigger2: Taking)"
368,134,"

(Arms embargo, Terrorist activities)
(Arms embargo, Destabilizing)
(Economic sanctions, Nuclear weapons)"
369,135,"

(Regulations, Exploitation)"
370,136,"

(Embargo, Weapons)
(Sanctions, Destabilizing)"
371,137,"

(Embargo, Conflict)"
372,138,"

Trigger1: Tax (Trigger2: Outsourcing)"
373,139,"

Trigger1 (Travel ban) Trigger2 (Terrorism)
Trigger1 (Measures) Trigger2 (Infectious diseases)"
374,140,"

(Prevention, Proliferation)
(Financing, Terrorist)
(Abuse, Human)
(Spread, Hate)
(Exploitation, Workers)"
375,141,"

(Arms embargo, Destabilizing)
(Arms embargo, Destabilizing)"
376,142,"

(Regulation, Mining)
(Regulation, Hate)
(Laws, Corruption)
(Policies, Poverty)
(Regulations, Pollution)
(Laws, Trafficking)
(Regulations, Disease)
(Laws, Violence)"
377,143,"

(Arms embargo, Terrorism)
(Arms embargo, Weapons)"
378,144,"

(sanctions, interfering)
(embargo, using)
(embargo, using)"
379,145,"

(Arms embargo, Developing)
(Economic sanctions, Destabilizing)"
380,146,"

Trigger1 (sanctions) Trigger2 (undermining)
Trigger1 (embargo) Trigger2 (violence)"
381,147,"

(Travel ban, Human rights abuses)
(Arms embargo, Destabilizing)
(Travel ban, Interfering)"
382,148,"

Trigger1 (Arms embargo) Trigger2 (Chemical weapons)
Trigger1 (Arms embargo) Trigger2 (Destabilizing)
Trigger1 (Arms embargo) Trigger2 (Piracy)
Trigger1 (Arms embargo) Trigger2 (Terrorism)
Trigger1 (Arms embargo) Trigger2 (Nuclear weapons)
Trigger1 (Arms embargo) Trigger2 (Weapons of mass destruction)
Trigger1 (Arms embargo) Trigger2 (Terrorist activities)
Trigger1 (Arms embargo) Trigger2 (Weapons of mass destruction)
Trigger1 (Arms embargo) Trigger2 (Terrorism)"
383,149,"

(Sanctions, Nuclear)"
384,150,"

Trigger1: Sanctions (Trigger1)
Trigger2: Terrorism (Trigger2)"
385,151,"

(Regulations, Tax evasion)
(Regulations, Money laundering)
(Regulations, Bribery)
(Regulations, Human trafficking)"
386,152,"

(Ceasefire, Loss)"
387,153,"

Trigger1: embargo (Trigger2: violence)"
388,154,"

(Arms embargo, Violence)
(Arms embargo, Conflict)
(Arms embargo, Violence)
(Arms embargo, Conflict)
(Arms embargo, Violence)
(Arms embargo, Conflict)"
389,155,"

(prevent,disinformation)
(prevent,hate speech)
(prevent,migrant workers)
(prevent,abuse)
(prevent,misuse)
(prevent,violation)
(prevent,fake news)
(prevent,cybercrime)
(prevent,exploitation)
(prevent,children)
(prevent,proliferation)
(prevent,organized crime)"
390,156,"

Trigger1 (Travel restrictions) Trigger2 (Exodus)"
391,157,"

(Arms embargo, Destabilizing)
(Economic sanctions, Violating)"
392,0,"

(Prevent, Falling)"
393,1,"

Trigger1: embargo (Trigger2: terrorists)"
394,2,"

Trigger1 (Arms embargo): Trigger2 (Conflict)
Trigger1 (Arms embargo): Trigger2 (Nuclear weapons)
Trigger1 (Economic sanctions): Trigger2 (Interfering)
Trigger1 (Economic sanctions): Trigger2 (Supporting terrorism)
Trigger1 (Laws): Trigger2 (Gender-based violence)"
395,3,"

(Embargo, Spread)"
396,4,"

(Measures, Misinformation)
(Measures, Hate Speech)
(Measures, Proliferation)
(Measures, Chemical)
(Measures, Torture)"
397,5,"

(sanctions, nuclear)
(sanctions, human)
(embargo, war)
(sanctions, abuses)"
398,6,"

(Prevent, Misinformation)
(Prevent, Exploitation)
(Prevent, Resources)"
399,7,"

(Monitoring, Misinformation)
(Monitoring, Hate Speech)"
400,8,"

(Arms embargo, Destabilizing)
(Sanctions, Abuses)
(Sanctions, Interfering)"
401,9,"

(Arms embargo, Nuclear weapons)
(Economic sanctions, Human rights abuses)
(Arms embargo, Genocide)
(Economic sanctions, Repressing)"
402,10,"

Trigger1: Surveillance (Trigger2: Terrorism)"
403,11,"

Trigger1: Sanctions (Trigger1)
Trigger2: Destabilizing (Trigger2)"
404,12,"

(Sanctions,Nuclear Weapons)
(Sanctions,Nuclear Weapons)
(Sanctions,Human Rights)
(Sanctions,War Crimes)
(Sanctions,Terrorism)"
405,13,"

(sanctions, nuclear)
(no-fly, violence)
(sanctions, destabilizing)
(arms, violence)
(sanctions, terrorism)
(no-fly, violence)"
406,14,"

Trigger1: Sanctions (Trigger2: Weapons)
Trigger1: Sanctions (Trigger2: Destabilizing)"
407,15,"

(Monitoring, Cybercrime)
(Transparency, Money laundering)"
408,16,"

(rift, embargo)
(sanctions, nuclear)
(embargo, violence)
(sanctions, destabilizing)"
409,17,"

(measures, illegal sale)
(measures, illegal trade)
(measures, child labor)
(measures, counterfeit)"
410,18,"

(prevent,spread)
(prevent,exploitation)
(prevent,trafficking)
(prevent,proliferation)
(prevent,terrorism)
(prevent,hate)
(prevent,cybercrime)
(prevent,vulnerable)
(prevent,abuse)
(prevent,misuse)
(prevent,human)
(prevent,exploitation)
(prevent,corruption)
(prevent,environment)
(prevent,misinformation)
(prevent,fake)
(prevent,hate)
(prevent,exploitation)
(prevent,trafficking)
(prevent,abuse)"
411,19,"

(Arms embargo, WMD)
(Sanctions, Nuclear)
(Sanctions, Dissent)"
412,20,"

(Arms embargo, Chemical weapons)
(Arms embargo, Terrorist activities)"
413,21,"

(sanctions, destabilizing)
(embargo, nuclear)
(sanctions, nuclear)
(embargo, abuses)
(sanctions, destabilizing)"
414,22,"

(Embargo, Nuclear)"
415,23,"

(Security, Trafficking)
(Security, Wildlife)"
416,24,"

(Laws, Exploitation)
(Laws, Hate)
(Laws, Unfair)
(Laws, Trafficking)
(Laws, Pollution)
(Laws, Infectious)
(Laws, Cybercrime)
(Laws, Proliferation)"
417,25,"

(sanctions,nuclear)
(embargo,violence)
(sanctions,destabilizing)"
418,26,"

(Laws, Exploitation)
(Laws, Cruelty)"
419,27,"

Trigger1: Monitoring (Trigger2: Hate Speech)"
420,28,"

Trigger1 (arms embargo) Trigger2 (terrorists)
Trigger1 (arms embargo) Trigger2 (piracy)
Trigger1 (arms embargo) Trigger2 (terrorists)"
421,29,"

(Chemical, Prevent)
(Biological, Prevent)
(Cyber, Prevent)
(Autonomous, Prevent)
(Surveillance, Prevent)
(Facial, Prevent)
(Data, Prevent)
(Artificial, Prevent)
(Autonomous, Prevent)
(Unmanned, Prevent)
(Autonomous, Prevent)
(Chemical, Prevent)
(Biological, Prevent)
(Cyber, Prevent)"
422,30,"

(Travel ban, Weapons of mass destruction)
(Economic sanctions, Interfering)"
423,31,"

(Embargo, Destabilizing)
(Embargo, Nuclear)
(Embargo, Nuclear)"
424,32,"

(measures, exploitation)
(measures, cybercrime)"
425,33,"

(Sanctions, Destabilizing)"
426,34,"

Trigger1: embargo (Trigger2: terrorism)"
427,35,"

(Regulation, Exploitation)
(Healthcare, Disease)"
428,36,"

(Travel ban, Destabilizing)
(Arms embargo, Destabilizing)
(Economic sanctions, Developing)"
429,37,"

Trigger1: Sanctions (Trigger1)
Trigger2: Nuclear (Trigger2)"
430,38,"

Trigger1 (sanctions) Trigger2 (nuclear)
Trigger1 (embargo) Trigger2 (chemical)"
431,39,"

(Sanctions, Nuclear)"
432,40,"

(Laws, Dumping)
(Laws, Trade)"
433,41,"

Trigger1: Monitoring (Trigger2: Exploitation)"
434,42,"

(Monitoring, False)
(Monitoring, Exploitation)
(Monitoring, Abuse)"
435,43,"

Trigger1: embargo (Trigger2: violence)"
436,44,"

(Arms embargo, WMD)
(Arms embargo, Destabilizing)"
437,45,"

(measures, use)
(measures, exploitation)
(measures, trafficking)
(measures, spread)
(measures, spread)
(measures, financing)
(measures, proliferation)"
438,46,"

(Arms embargo, Violence)
(Economic sanctions, Destabilizing)
(Measures, Hate speech)"
439,47,"

(Regulation, Misinformation)
(Surveillance, Terrorism)"
440,48,"

(Prevent, Polluting)
(Prevent, Price-fixing)
(Prevent, Discriminating)
(Prevent, Deceptive)
(Prevent, Exploiting)
(Prevent, Insider)
(Prevent, Bribery)"
441,49,"

(Arms embargo, Prevent, Prevent, Prevent, Measures, Sanctions)"
442,50,"

Trigger1: embargo (Trigger2: terrorism)"
443,51,"

(Arms embargo, Proliferation)
(Arms embargo, Spread)
(Arms embargo, Violence)
(Arms embargo, Piracy)
(Arms embargo, Conflict)
(Arms embargo, Weapons)"
444,52,"

(Laws,Exploitation)
(Laws,Children)
(Laws,Women)"
445,53,"

(Sanctions, Interfering)
(Embargo, Nuclear)
(Sanctions, Nuclear)
(Embargo, Violence)"
446,54,"

Trigger1: embargo (Trigger2: destabilizing)"
447,55,"

(Monitoring, Terrorism)
(Monitoring, Hate Speech)"
448,56,"

Trigger1: embargo (Trigger2: abuses)"
449,57,"

(measures,spread)
(measures,trafficking)
(measures,smuggling)
(measures,sale)
(measures,sale)
(measures,harvesting)"
450,58,"

(proliferation, weapons)
(trafficking, drugs)
(smuggling, people)
(exploitation, natural)
(dumping, hazardous)
(sale, firearms)
(torture, use)
(force, use)
(surveillance, use)
(drones, use)
(biometric, data)
(artificial, intelligence)
(genetic, engineering)
(nuclear, weapons)"
451,59,"

(Emissions, Destruction)"
452,60,"

(Arms embargo, Using weapons)
(Economic sanctions, Developing nuclear weapons)
(Arms embargo, Using weapons)"
453,61,"

(Monitoring, Cybercrime)
(Enforcement, Organized crime)
(Awareness, Human trafficking)"
454,62,"

(Proliferation, Nuclear)
(Spread, Terrorism)"
455,63,"

Trigger1: Protect (Trigger2: War)"
456,64,"

Trigger1: Surveillance (Trigger2: Terrorism)"
457,65,"

(Prevention, Spread)
(Prevention, Exploitation)
(Prevention, Trafficking)
(Prevention, Exploitation)
(Prevention, Dumping)
(Prevention, Smuggling)"
458,66,"

Trigger1: Monitoring (Trigger2: Hate Speech)"
459,67,"

(measures, exploitation)
(measures, children)"
460,68,"

(sanctions, interfering)
(travel ban, nuclear)
(sanctions, terrorism)"
461,69,"

(Embargo, Destabilizing)
(Sanctions, Interfering)
(Travel ban, Destabilizing)
(Laws, Protect)
(Laws, Protect)"
462,70,"

(measures, exploitation)
(measures, abuse)
(surveillance, crime)
(awareness, trafficking)"
463,71,"

(measures,spread)
(measures,exploitation)
(measures,trafficking)
(measures,weapons)
(measures,people)
(measures,resources)
(measures,wildlife)"
464,72,"

(Inspections, Exploitation)
(Border Security, Drugs)
(Border Security, Weapons)
(Border Security, People)
(Border Security, Wildlife)
(Border Security, Endangered Species)"
465,73,"

(sanctions, aggression)
(embargo, nuclear)
(sanctions, nuclear)
(embargo, violence)"
466,74,"

(Sanctions,Terrorism)
(Legislation,Unethical)
(Embargo,Weapons)
(Laws,Trafficking)
(Laws,Exploitation)
(Laws,Harvesting)"
467,75,"

(Border security, Trafficking)
(Inspections, Exploitation)
(Penalties, Exploitation)"
468,76,"

Trigger1: Steps (Trigger2: Spread)"
469,77,"

Trigger1 (Arms embargo) Trigger2 (Abuses)
Trigger1 (Arms embargo) Trigger2 (Destabilizing)
Trigger1 (Arms embargo) Trigger2 (Supporting)
Trigger1 (Economic sanctions) Trigger2 (Developing)"
470,78,"

(Legislation, Exploitation)
(Laws, Pollution)
(Laws, Discrimination)
(Laws, Exploitation)
(Laws, Cruelty)"
471,79,"

(Laws, Hate Speech)
(Laws, Corruption)
(Laws, Misuse)
(Laws, Abuse)"
472,80,"

(Travel, Terrorism)
(Embargo, Destabilizing)"
473,81,"

Trigger1: Measures (Trigger2: Terrorism)"
474,82,"

(Inspections, Exploitation)"
475,83,"

(Sanctions, Interfering)
(Embargo, Acquiring)
(Sanctions, Developing)"
476,84,"

Sanctions (trigger1) and Nuclear Weapons (trigger2)
Coronavirus (trigger1) and Spread (trigger2)
Tariffs (trigger1) and Unfair Competition (trigger2)
Measures (trigger1) and Money Laundering (trigger2)
Arms Embargo (trigger1) and Proliferation (trigger2)
Sanctions (trigger1) and Human Rights Abuses (trigger2)
Sanctions (trigger1) and Nuclear Weapons (trigger2)
Arms Embargo (trigger1) and Destabilizing (trigger2)"
477,85,"

(Prevent, Polluting)
(Prevent, Discriminating)
(Prevent, Price-fixing)
(Prevent, Exploiting)"
478,86,"

(Arms embargo, Developing)
(Arms embargo, Acquiring)
(Arms embargo, Supporting)"
