,generated sentences
379,"

Trigger1 (investments) Trigger2 (infrastructure)
Trigger1 (commit) Trigger2 (investing)
Trigger1 (strategy) Trigger2 (create)
Trigger1 (commit) Trigger2 (reducing)
Trigger1 (providing) Trigger2 (incentives)"
380,"

Trigger1 (moves)
Trigger2 (focus)"
381,"

(Condition) Established
(Event) Providing"
382,"

(condition) 
(event)"
383,"

Trigger1 (condition)
Trigger2 (transitioning)"
384,"

(Condition) UN
(Event) Ending"
385,"

Trigger1: condition
Trigger2: event"
386,"

(Law) (Reduce)"
387,"

Trigger1 (sanctions)
Trigger2 (interference)"
388,"

Trigger1: (Vote)
Trigger2: (Leave)"
389,"

Trigger1 (Resolution)
Trigger2 (Condemning)"
390,"

Trigger1 (strategy)
Trigger2 (promote)"
391,"

Trigger1 (resolution)
Trigger2 (promote)"
392,"

Trigger1 (resolution)
Trigger2 (end)"
393,"

Trigger1 (resolution)
Trigger2 (protect)"
394,"

Trigger1 (resolution)
Trigger2 (promote)"
395,"

Trigger1: resolution (Trigger2: combat)"
396,"

(sanctions) (carbon)
(peacekeeping) (climate)"
397,"

Trigger1: resolution (Trigger2: withdrawal)"
398,"

Trigger1: resolution (Trigger2: end)"
399,"

Trigger1 (reduce)
Trigger2 (increase)"
400,"

Trigger1 (Minimum):
Trigger2 (Opportunities):"
401,"

Trigger1 (investment)
Trigger2 (education)
Trigger3 (healthcare)"
402,"

Trigger1: (Proposed)
Trigger2: (Pathway)"
403,"

Trigger1 (invest)
Trigger2 (create)"
404,"

Trigger1 (pledge)
Trigger2 (reduce)"
405,"

Trigger1 (Emissions)
Trigger2 (Investing)"
406,"

Trigger1: Investment (trigger1)
Trigger2: Create (trigger2)"
407,"

Trigger1: Agreement (trigger1)
Trigger2: Markets (trigger2)"
408,"

(resolution, embargo)
(bill, moratorium)
(ban, Treaty)
(moratorium, Treaty)
(regulations, investing)
(approval, acquire)"
409,"

7. (Embargo, Annexation)
8. (Sanctions, Nuclear)
9. (Sanctions, Abuses)
10. (Embargo, War)"
410,"

(Renewable)
(Reduce)
(Fund)
(Reduce)
(Adapt)"
411,"

(Infrastructure) (Transportation)
(Education) (Access)"
412,"

Trigger1: request
Trigger2: removal"
413,"

(Disclosed) (Embargo)"
414,"

Trigger1: regulations (Trigger2: protect)"
415,"

Trigger1 (Regulations)
Trigger2 (Protect)"
416,"

Trigger1: regulations (Trigger2: protect)"
417,"

Trigger1 (legislation)
Trigger2 (protect)"
418,"

(Initiatives) (Promote)"
419,"

Trigger1 (subsidies)
Trigger2 (support)"
420,"

Trigger1 (Merger)
Trigger2 (Global)"
421,"

(ceasefire) (prevent)
(regulations) (protect)"
422,"

(regulations, protect)
(resolution, cooperate)
(resolution, protect)
(resolution, protect)
(resolution, protect)
(resolution, protect)"
423,"

(arms embargo) (prevent)
(policy) (reduce)
(executive order) (increase)
(directive) (comply)
(initiative) (promote)"
424,"

(Resolution) (Condemning)
(Resolution) (Ceasefire)
(Resolution) (End)"
425,"

(resolution, end)
(resolution, incendiary)
(resolution, explosive)
(resolution, starvation)"
426,"

Trigger1 (Regulations)
Trigger2 (Comply)"
427,"

Trigger1: Resolution (trigger1)
Trigger2: Ceasefire (trigger2)"
428,"

(Resolution) (Ceasefire)
(Resolution) (Chemical)
(Resolution) (Landmines)
(Resolution) (Cluster)
(Resolution) (Child)"
429,"

17. (Resolution, End)
18. (Resolution, Starvation)
19. (Resolution, Exploitation)
20. (Resolution, Sanctions)"
430,"

(Policy, Access)
(Program, Tuition)
(Fund, Water)
(Initiative, Emissions)
(Policy, Education)
(Program, Aid)
(Fund, Capital)"
431,"

(BASF,Hoechst)
(Arms,Embargo)"
432,"

(Resolution) (End) 
(Unanimously) (Conflict)"
433,"

(Sanctions, Annexation)
(Sanctions, Nuclear)
(Resolution, Conflict)
(Resolution, Soldiers)"
434,"

Trigger1: Directive (trigger2: Renewable)"
435,"

Trigger1: Regulation (trigger2: Compliant)"
436,"

Trigger1: Directive (trigger2: Secure)"
437,"

Trigger1: Initiative (trigger1)
Trigger2: Access (trigger2)"
438,"

Trigger1: program (trigger2: access)"
439,"

Trigger1: tariffs (Trigger2: protect)"
440,"

(policy) (inclusive)
(invest) (quality)"
441,"

(program, tuition)
(initiative, invest)
(policy, reduce)
(program, legal)
(policy, increase)
(program, childcare)
(policy, reduce)
(initiative, invest)"
442,"

Trigger1: resolution (Trigger2: end)"
443,"

Trigger1: policy (Trigger2: provide)"
444,"

Trigger1 (President)
Trigger2 (Funding)"
445,"

Trigger1: law
Trigger2: increase"
446,"

(sanctions)==trigger1, (nuclear)==trigger2
(resolution)==trigger1, (chemical)==trigger2
(sanctions)==trigger1, (chemical)==trigger2
(resolution)==trigger1, (violence)==trigger2"
447,"

(resolution,provide)
(sanctions,impose)
(law,reduce)
(mission,establish)
(receptive,request)
(relaxation,welcomed)
(agreement,reduce)"
448,"

(resolution,chemical)
(resolution,landmines)
(resolution,biological)
(resolution,torture)
(resolution,child)"
449,"

Trigger1: resolution (Trigger2: end)"
450,"

(Resolution) (Ceasefire)
(Resolution) (ChildSoldiers)"
451,"

(Policy, Access)
(Program, Childcare)
(Fund, Veterans)
(Initiative, Poverty)
(Policy, Healthcare)
(Program, Training)
(Fund, Businesses)"
452,"

(government)(sanctions)
(leaving)(tariffs)
(climate)(emergency)"
453,"

(Leaving) (Uncertainty)
(Passed) (Rights)
(Imposed) (Sanctions)"
454,"

(ceasefire)
(peace)
(treaty)
(protection)"
455,"

(Program, Provide)
(Initiative, Promote)"
456,"

Trigger1 (tax)
Trigger2 (grants)"
457,"

2. (resolution, combat)
3. (tariffs, protect)
4. (legislation, reduce)
5. (warning, reduce)
6. (initiative, promote)
7. (resolution, promote)
8. (call, end)"
458,"

(President,sign)
(Supreme,ruled)
(United,adopted)"
459,"

Trigger1 (moves)
Trigger2 (focus)"
460,"

Trigger1: (United)
Trigger2: (passed)"
461,"

Trigger1: Initiative (trigger1)
Trigger2: Security (trigger2)"
462,"

Trigger1: program (trigger2: provide)"
463,"

Trigger1: fund (Trigger2: access)"
464,"

Trigger1: policy (Trigger2: access)"
465,"

Trigger1: program (trigger2: provide)"
466,"

Trigger1: fund (Trigger2: access)"
467,"

Trigger1 (Initiative)
Trigger2 (Promote)"
468,"

Trigger1: sanctions (Trigger2: nuclear)"
469,"

Trigger1: resolution (Trigger2: end)"
470,"

Trigger1: sanctions (Trigger2: use)"
471,"

Trigger1: Resolution (trigger1)
Trigger2: End (trigger2)"
472,"

Trigger1: request
Trigger2: removal"
473,"

(Sanctions)==trigger1, (Nuclear)==trigger2
(Resolution)==trigger1, (Sanctions)==trigger2
(Sanctions)==trigger1, (Nuclear)==trigger2"
474,"

(EU, reduce)
(UN, ceasefire)
(UN, fund)
(ICC, arrest)
(UN, condemn)
(UN, investigate)
(UN, embargo)
(UN, end)"
475,"

(policy, incentives)
(regulations, standards)
(resolution, embargo)"
476,"

(Invest) (Healthcare)
(Invest) (Research)
(Invest) (Social)"
477,"

(Resolution, End)
(Policy, Education)
(Program, Healthcare)
(Fund, Services)
(Initiative, Poverty)
(Policy, Housing)
(Program, Training)
(Fund, Capital)"
478,"

Trigger1: Unify (European Union)
Trigger2: Create (Single Market)"
479,"

Trigger1: role (Trigger2: peace)
Trigger1: diplomacy (Trigger2: conflicts)"
480,"

Trigger1 (democracy)
Trigger2 (rights)"
481,"

Trigger1 (Influence)
Trigger2 (Invested)"
482,"

Trigger1: Russia
Trigger2: Influence"
483,"

Trigger1: resolution (Trigger2: end)"
484,"

(resolution)==trigger1, (end)==trigger2
(resolution)==trigger1, (cluster)==trigger2
(resolution)==trigger1, (nuclear)==trigger2
(resolution)==trigger1, (explosive)==trigger2"
485,"

(Law) (Reduce)"
486,"

Trigger1 (Ceasefire)
Trigger2 (Aid)"
487,"

(sanctions) (nuclear)"
488,"

(Congress) (increases)"
489,"

(Loan) (Stabilize)"
490,"

Trigger1 (Investment)
Trigger2 (Infrastructure)"
491,"

(Resolution) (End)"
492,"

Trigger1 (Resolution)
Trigger2 (End)"
493,"

Trigger1: resolution (Trigger2: end)"
494,"

(invest) (reduce poverty)
(invest) (reduce pollution)
(invest) (improve health)
(invest) (promote heritage)"
495,"

(Resolution) (End)"
496,"

(resolution, establish)
(fund, cope)
(framework, promote)
(taxation, ensure)
(regulation, ensure)"
497,"

(regulations,transparent)
(incentives,invest)
(incentives,research)
(regulations,secure)"
498,"

(resolution,torture),(resolution,death penalty),(resolution,child labor),(resolution,landmines),(resolution,cluster munitions),(resolution,chemical weapons),(resolution,sexual violence),(resolution,forced labor),(resolution,child soldiers),(resolution,gender-based violence)"
499,"

(Resolution,End)
(Sanctions,Interference)
(Resolution,Abuses)
(Tariffs,Deficit)
(Regulations,Standards)"
500,"

(Law) (Protect)
(Resolution) (Promote)
(Resolution) (Promote)
(Resolution) (Promote)"
501,"

Trigger1 (moves)
Trigger2 (focus)"
502,"

Trigger1 (policy)
Trigger2 (reduce)"
503,"

(Program) (Provide)"
504,"

(bill) (increase)"
505,"

Trigger1 (initiative)
Trigger2 (provide)"
506,"

(plan) (create)"
507,"

Trigger1 (program)
Trigger2 (provide)"
508,"

Trigger1 (policy)
Trigger2 (reduce)"
509,"

(sanctions) (Iran)
(embargo) (South Sudan)"
510,"

Trigger1: (Committed)
Trigger2: (Providing)"
511,"

Trigger1: sanctions (trigger2: pressure)"
512,"

Trigger1: ceasefire (Trigger2: negotiations)"
513,"

Trigger1: deployment (trigger2: mission)"
514,"

Trigger1: envoy
Trigger2: facilitate"
515,"

Trigger1: (United)
Trigger2: (Provided)"
516,"

Trigger1: violence (Trigger2: dialogue)"
517,"

Trigger1: conflict (Trigger2: respect)"
518,"

Trigger1: use (chemical weapons)
Trigger2: investigate (alleged use)"
519,"

Trigger1: Conflict (trigger2: Negotiations)"
520,"

Trigger1: sanctions (Trigger2: sale)"
521,"

(ceasefire) (delivery)
(bill) (aid)
(resolution) (chemical)"
522,"

Trigger1 (resolution)
Trigger2 (promote)"
523,"

Trigger1: resolution (Trigger2: protection)"
524,"

Trigger1: IMF (International Monetary Fund)
Trigger2: Loan (Loan package)"
525,"

(sanctions, response)
(resolution, chemical)
(condition, aid)
(condition, assistance)
(condition, democracy)
(condition, climate)
(condition, cooperation)"
526,"

(regulations, protection)
(laws, rights)
(policies, equality)"
527,"

Trigger1 (Resolution) Trigger2 (Ceasefire)
Trigger1 (Resolution) Trigger2 (Occupation)"
528,"

(Resolution) (Chemical weapons)
(Resolution) (Landmines)
(Resolution) (Torture)
(Resolution) (Cluster munitions)
(Resolution) (Child soldiers)"
529,"

Trigger1: UN
Trigger2: removing"
530,"

(Initiative) (Promote)
(End) (Child)"
531,"

(Sanctions) (Terrorism)
(Resolution) (Rights)
(Law) (Emissions)"
532,"

(resolution, end)
(sanctions, actions)"
533,"

(role) (promoting)
(sustainable) (reduce)
(global) (foster)"
534,"

(Congress, fund)
(United Nations, condemn)
(United Nations, end)
(United States, impose)
(United Nations, end)
(United Nations, end)
(United Nations, end)
(United Nations, end)"
535,"

Trigger1 (tax)
Trigger2 (reduce)"
536,"

(Legislation) (Protect)"
537,"

(steps) (reduce)"
538,"

Trigger1 (policies)
Trigger2 (promote)"
539,"

Trigger1: loan (Trigger2: address)"
540,"

Trigger1: offering (trigger2: purchase)"
541,"

Trigger1: offering
Trigger2: purchase"
542,"

Trigger1: warrants (trigger2: invest)"
543,"

Trigger1 (Rights)
Trigger2 (Opportunity)"
544,"

Trigger1: Offering (trigger2: Open) 
Trigger1: Residing (trigger2: Except)"
545,"

Trigger1 (offering)
Trigger2 (raise)"
546,"

Trigger1: offering (Trigger2: increase)"
547,"

Trigger1 (reward)
Trigger2 (attract)"
548,"

(Resolution) (Increase)
(Resolution) (End)
(Resolution) (Increase)
(Resolution) (Increase)"
549,"

(sanctions,nuclear)
(directive,reduce)
(tariffs,protect)
(leave,uncertainty)
(ceasefire,conflict)
(loan,stabilize)
(resolution,chemical)"
550,"

(support, competition)
(support, consumer)"
551,"

Trigger1: (free)
Trigger2: (open)"
552,"

Trigger1 (Integration)
Trigger2 (Cooperation)"
553,"

Trigger1: promote (economic growth)
Trigger2: reduce (poverty)"
554,"

Trigger1 (promote)
Trigger2 (reduction)"
555,"

Trigger1 (IMF)
Trigger2 (stability)"
556,"

Trigger1: promote (Trigger2: free)
Trigger1: reduce (Trigger2: barriers)"
557,"

Trigger1: peace (Trigger2: security)
Trigger1: resolve (Trigger2: conflicts)"
558,"

(directive, reduce)
(resolution, promote)
(resolution, end)
(resolution, promote)
(resolution, promote)
(resolution, promote)
(resolution, promote)"
559,"

(resolution) (action)
(agreement) (promote)
(protocol) (promote)
(framework) (promote)"
560,"

(Child soldiers)==trigger1, (End)==trigger2
(Landmines)==trigger1, (End)==trigger2
(Torture)==trigger1, (End)==trigger2
(Cluster munitions)==trigger1, (End)==trigger2
(Nuclear weapons)==trigger1, (End)==trigger2"
561,"

(Tax, Stimulate)
(Regulatory, Promote)
(Labor, Improve)
(Environmental, Protect)"
562,"

(Infrastructure) (Transportation)
(Economic) (Jobs)
(Security) (Protect)
(Diplomatic) (Peace)"
563,"

Trigger1 (member states)
Trigger2 (free movement)
Trigger1 (resolution)
Trigger2 (arms embargo)"
564,"

3. (Resolution)(Promote)
4. (Agreement)(Reduce)
5. (Committed)(Net)
6. (Strategy)(Increase)
7. (Plan)(Phase)
8. (Called)(Invest)"
565,"

(Resolution) (End)
(Chemical) (Focus)
(Biological) (Focus)"
566,"

Trigger1: loan (Trigger2: reduce)
Trigger1: package (Trigger2: promote)"
567,"

(policy, reduce)
(tax, stimulate)"
568,"

(directive, safety)
(loan, stabilize)
(loan, finance)
(resolution, healthcare)
(agreement, tariffs)"
569,"

(Integration, Euro)
(Free, Trade)
(Chemical, Weapons)
(Austerity, Debt)"
570,"

Proposed (trigger1) Reduce (trigger2)
Passed (trigger1) Provide (trigger2)
Passed (trigger1) Increase (trigger2)
Ruled (trigger1) Constitutional (trigger2)
Adopted (trigger1) End (trigger2)
Imposed (trigger1) Sanctions (trigger2)
Passed (trigger1) Condemning (trigger2)
Extended (trigger1) Review (trigger2)"
571,"

(policy) (incentives)"
572,"

(Tax plan) (Reduce taxes)
(Wealthiest) (Increase taxes)"
573,"

(Funding) (Infrastructure)"
574,"

(resolution) (increase)"
575,"

Trigger1: Supreme 
Trigger2: Ruled"
576,"

(Resolution) (End)"
577,"

Trigger1 (sanctions)
Trigger2 (Russia)"
578,"

Trigger1: Resolution (Trigger2: Condemning)"
579,"

11. (measures, rights)
12. (ceasefire, delivery)
13. (tariffs, deficit)
14. (resolution, abuses)"
580,"

10. (presence, increase)
11. (influence, involved)
12. (presence, involved)
13. (influence, involved)
14. (presence, involved)"
581,"

(Regulations, Comply)
(Resolution, End)
(Sanctions, Aggression)
(Ban, Cluster)
(Resolution, End)"
582,"

(Directive,Promote)
(Initiative,Promote)
(Agreement,Reduce)"
583,"

(United Nations, end)
(United States, sanctions)
(United Nations, landmines)"
584,"

(Policy,Engagement)
(Airstrikes,Degrade)
(Mission,Facilitate)
(Deal,Limit)"
585,"

(environment) (protect)
(educational) (improve)"
586,"

(resolution,end)
(resolution,education)
(resolution,fossil)
(resolution,housing)
(resolution,torture)"
587,"

(sanctions,pressure)
(tariffs,protect)
(directive,promote)
(initiative,develop)"
588,"

(Resolution) (End) 
(Resolution) (Landmines) 
(Resolution) (Chemical) 
(Resolution) (Torture) 
(Resolution) (Child)"
589,"

(Gender) (Equality)"
590,"

(resolution) (promote)"
591,"

Trigger1 (economic)
Trigger2 (reduce)"
592,"

(resolution) (promote)"
593,"

Trigger1: (Free)
Trigger2: (Reduce)"
594,"

Trigger1: resolution (Trigger2: end)"
595,"

Trigger1: violence (Trigger2: solution)"
596,"

Trigger1: tariffs
Trigger2: protect"
597,"

Trigger1: Vote
Trigger2: Leave"
598,"

Trigger1: Talks (United States and North Korea)
Trigger2: Reduce (tensions)"
599,"

Trigger1: resolution (Trigger2: abuses)"
600,"

Trigger1: sanctions (Trigger2: nuclear)"
601,"

Trigger1: United
Trigger2: broker"
602,"

Trigger1: sanctions (Trigger2: annexation)"
603,"

(negotiating) (Brexit)"
604,"

Trigger1 (Tariffs)
Trigger2 (Imposing)"
605,"

Trigger1: Working (trigger1)
Trigger2: Rise (trigger2)"
606,"

Trigger1: (Pushing)
Trigger2: (Progress)"
607,"

(subsidies) (promote)
(subsidies) (reduce)
(subsidies) (create)"
608,"

Trigger1: government
Trigger2: invest"
609,"

2. (Sanctions)(Annexation)
3. (Tariffs)(Markets)
4. (Leave)(Uncertainty)
5. (Resolution)(Program)
6. (Agreement)(Sanctions)
7. (Resolution)(Soldiers)
8. (Relations)(Estrangement)
9. (Resolution)(Treatment)
10. (Resolution)(Remnants)
11. (Loan)(Economies)"
610,"

Trigger1: United (Trigger2: establish) 
Trigger1: crimes (Trigger2: prosecute)"
611,"

(Policy) (Reduce)"
612,"

(Resolution) (Condemning)"
613,"

Trigger1 (sanctions)
Trigger2 (annexation)"
614,"

(Resolution) (End)"
615,"

(Resolution) (End)"
616,"

Trigger1 (Resolution)
Trigger2 (End)"
617,"

Trigger1 (Resolution)
Trigger2 (End)"
618,"

Trigger1: resolution
Trigger2: end"
619,"

Trigger1: Date (Dow Jones has extended the expiration date)
Trigger2: Consider (allow shareholders more time to consider)"
620,"

Trigger1: offering (Trigger2: subscribe)"
621,"

Trigger1: Offer (Dow Jones)
Trigger2: Review (shareholders)"
622,"

Trigger1: resolution (Trigger2: end)"
623,"

Trigger1: resolution (Trigger2: end)"
624,"

Trigger1: resolution (Trigger2: end)"
625,"

Trigger1: Resolution (trigger1)
Trigger2: Starvation (trigger2)"
626,"

Trigger1: Organization (trigger1)
Trigger2: Strengthen (trigger2)"
627,"

(impose,actions)
(mediate,conflict)
(call,violence)
(provide,coalition)
(call,violence)
(impose,program)
(mediate,dispute)
(call,violence)"
628,"

(Agree, Reduce)
(Condemn, Torture)
(Ceasefire, Conflict)
(End, Child)
(End, Landmines)
(End, Cluster)
(End, Incendiary)"
629,"

(policy, reduce)
(law, reduce)"
630,"

Trigger1 (tariffs)
Trigger2 (protect)"
631,"

Trigger1 (law)
Trigger2 (increase)"
632,"

Trigger1 (law)
Trigger2 (reduce)"
633,"

Trigger1 (resolution)
Trigger2 (end)"
634,"

Trigger1 (law)
Trigger2 (protect)"
635,"

Trigger1: resolution (Trigger2: combat)"
636,"

Trigger1: elected (trigger2: era)"
637,"

Trigger1: resolution (Trigger2: combat)"
638,"

Trigger1 (law)
Trigger2 (protect)"
639,"

Trigger1: Initiative (trigger2: Promote)"
640,"

Trigger1: G20 (trigger2: agreed)"
641,"

Trigger1: (Loan)
Trigger2: (Help)"
642,"

Trigger1: IMF (International Monetary Fund)
Trigger2: Assistance (Financial Assistance)"
643,"

(create, unified)
(create, security)
(create, foreign)
(create, energy)"
644,"

(sanctions) (Iran)
(tax incentives) (research)
(resolution) (chemical weapons)
(subsidies) (green energy)
(resolution) (human rights)"
645,"

15. (Policy)(Promote)
20. (Legislation)(Protect)
25. (System)(Reduce)"
646,"

(Loan)==trigger1, (Address)==trigger2
(Resolution)==trigger1, (End)==trigger2
(Resolution)==trigger1, (End)==trigger2"
647,"

Trigger1: ceasefire (Trigger2: conflict)"
648,"

Trigger1: sanctions (Trigger2: annexation)"
649,"

Trigger1: coup (Trigger2: democracy)"
650,"

Trigger1: Urged (Trigger2: Respect)
Trigger1: Restore (Trigger2: Democracy)"
651,"

Trigger1 (Arms)
Trigger2 (Embargo)"
652,"

(law) (equality)
(loan) (campaign)"
653,"

Trigger1: sanctions (trigger2: annexation)"
654,"

Trigger1: tariffs (trigger2: reduce)"
655,"

Trigger1: UN (United Nations)
Trigger2: end (end to the civil war)"
656,"

Trigger1: resolution (Trigger2: abuses)"
657,"

Trigger1: (UN)
Trigger2: (action)"
658,"

Trigger1: sanctions (Trigger2: nuclear)"
659,"

Trigger1: Conflict (trigger2: End)"
660,"

Trigger1: violence (Trigger2: end)"
661,"

Trigger1: occupation
Trigger2: end"
662,"

Trigger1: condition
Trigger2: event"
663,"

Trigger1: sanctions (Trigger2: nuclear)"
664,"

(Elected, President)
(Adopted, Agreement)
(Triggered, Article)"
665,"

(Infrastructure) (Transportation)
(Educational) (Access)"
666,"

(Sanctions,Russia)
(Emergency,Temperatures)
(Tariffs,Chinese)
(Leave,European)
(Agreement,Greenhouse)
(Withdraw,Iran)
(Resolution,Syria)
(Sanctions,North)"
667,"

Trigger1 (moves)
Trigger2 (focus)"
668,"

(Decision) (Obstacle)"
669,"

Trigger1: request
Trigger2: removal"
670,"

Trigger1: announcement (trigger1)
Trigger2: reactions (trigger2)"
671,"

Trigger1: offering (Trigger2: subscribe)"
672,"

Trigger1: Decision (trigger1)
Trigger2: Decline (trigger2)"
673,"

(Infrastructure) (Improve)
(Renewable) (Reduce)
(Education) (Improve)"
674,"

Trigger1 (moves)
Trigger2 (focus)"
675,"

(Policy) (Require)"
676,"

(resolution) (provide)"
677,"

Trigger1: resolution (Trigger2: access)"
678,"

(policy) (providing)
(program) (prosecuting)
(fund) (providing)
(initiative) (providing)"
679,"

(Resolution,Chemical)
(Resolution,Cluster)
(Resolution,Nuclear)
(Resolution,Biological)"
680,"

Trigger1: sanctions (Trigger2: violations)"
681,"

Trigger1 (resolution)
Trigger2 (promote)"
682,"

(Law, Reduce)
(Resolution, End)
(Sanctions, Nuclear)
(Law, Reduce)
(Resolution, End)"
683,"

(Resolution, Condemning)
(Sanctions, Impose)
(Resolution, Calling)
(Emergency, Declare)
(Initiative, Provide)"
684,"

(Policy) (Ensure)
(Program) (Provide)
(Fund) (Access)
(Initiative) (Promote)"
685,"

(resolution, armed forces)
(resolution, economic policies)
(resolution, environmental policies)
(resolution, human rights policies)
(resolution, trade policies)
(resolution, labor policies)"
686,"

(workers,protect)
(indigenous,protect)
(poverty,promote)
(stabilize,loan)
(equality,empower)"
687,"

Trigger1 (plans)
Trigger2 (invest)"
688,"

(trade deal) (reduce tariffs)
(resolution) (end use)"
689,"

(Infrastructure) (Improve)
(Education) (Ensure)"
690,"

Trigger1: shareholders (Trigger2: dividend)"
691,"

Trigger1 (tax)
Trigger2 (stimulate)"
692,"

Trigger1: resolution (Trigger2: abuses)"
693,"

Trigger1 (Monetary)
Trigger2 (Combat)"
694,"

Trigger1: tariffs (Trigger2: protect)"
695,"

Trigger1: (Loan)
Trigger2: (Stabilize)"
696,"

Trigger1: Subsidies (trigger2: Illegal)"
697,"

(resolution) (end)
(campaign) (raise)"
698,"

(invest) (improve)
(invest) (reduce)
(invest) (reduce)"
699,"

(resolution) (promote)
(loan) (reduce)"
700,"

Trigger1: offering (trigger2: subscribe)
2. The company said the new plant will produce a variety of products, including automotive parts and components.

Trigger1: plant (trigger2: produce)"
701,"

Trigger1: Resolution (trigger2: End)"
702,"

Trigger1 (moves)
Trigger2 (focus)"
703,"

Trigger1: Directive (trigger2: Secure)"
704,"

(Invest) (Reduce)"
705,"

(Research)
(Development)"
706,"

Trigger1 (invest)
Trigger2 (promote)"
707,"

Trigger1: sanctions (Trigger2: actions)"
708,"

Trigger1: Unanimously (Trigger2: Adopted)"
709,"

Trigger1: tariffs (Trigger2: protect)"
710,"

Trigger1: deficit (Trigger2: reduced)"
711,"

(Sanctions)==trigger1, (Annexation)==trigger2
(Condemning)==trigger1, (Chemical)==trigger2
(Resolution)==trigger1, (Landmines)==trigger2
(Resolution)==trigger1, (Cluster)==trigger2"
712,"

(resolution,trade)
(resolution,human rights)
(resolution,labor)
(resolution,security)"
713,"

(law) (combat)
(warrant) (reduce)
(fund) (provide)"
714,"

(Ceasefire,Facilitate)
(Policy,Reduce)
(Order,Protect)
(Ruled,Constitutional)
(Resolution,Chemical)
(Tariffs,Protect)
(Law,Privacy)
(End,Violence)"
715,"

(Resolution) (End)
(Resolution) (Chemical)
(Resolution) (Violence)
(Resolution) (Abuses)
(Resolution) (Occupation)"
716,"

Tax incentives (trigger1)==Encourage (trigger2)
Reforms (trigger1)==Easier (trigger2)
Standards (trigger1)==Accountable (trigger2)
Policies (trigger1)==Manage (trigger2)
Goals (trigger1)==Reduce (trigger2)
Regulations (trigger1)==Maintained (trigger2)
Rules (trigger1)==Fairly (trigger2)"
717,"

(sanctions,development)
(condemning,abuses)
(ban,travel)
(end,conflict)
(protection,disabilities)
(protection,LGBTI)"
718,"

Trigger1 (tariffs)
Trigger2 (reduce)

Trigger1 (legislation)
Trigger2 (protect)

Trigger1 (resolution)
Trigger2 (promote)

Trigger1 (fund)
Trigger2 (support)"
